,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2
49,Agile Project Management: Scrum Step by Step with Examples,https://www.udemy.com/course/scrum-master-training/?couponCode=160220_FREE,4.2,2653,Englisch,1.5,Business,Management,Scrum
61,Difficult Conversations: Personal Hygiene in the Workplace,https://www.udemy.com/course/new-supervisor-personal-hygiene-in-the-workplace/?couponCode=FEB2020,4.0,14,Englisch,33.0,Business,Management,Schwierige Gespräche
35,Blender 2.8 Complete Beginners Guide to 3D Modelling a Scene,https://www.udemy.com/course/blender-28-complete-beginners-guide-to-3d-modelling-a-scene/?couponCode=3DTUDORFEB,4.3,120,Englisch,21.0,Design,3D & Animation,Blender
47,Key Performance Indicators - The Complete Course,https://www.udemy.com/course/kpis-what-every-financial-analyst-should-know/?couponCode=2AEEC09744B0BAB8DF91,4.4,27,Englisch,2.0,Finanzen & Rechnungswesen,Finanzmodelle & Finanzanalyse,KPIs (Key Performance Indicators)
20,Adobe Lightroom Masterclass - Beginner to Expert,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/?couponCode=E60B159FF3734FE211E8,4.2,204,Englisch,8.0,Fotografie,Fotografietools,Adobe Lightroom
23,Cinematic Color Grading With Premiere Pro 2020 For Beginners,https://www.udemy.com/course/cinematic-color-grading-with-premiere-pro-2020-for-beginners/?couponCode=VALENTINESALE,3.4,18,Englisch,2.0,Fotografie,Videodesign,Color Grading (Farbkorrektur)
54,"Superfoods, Herbalism, Nutrition Basics and Your Health",https://www.udemy.com/course/superfoods/?couponCode=21FC9223B6B1FE4BD563,4.2,115,Englisch,3.0,Gesundheit & Fitness,Ernährung,Ernährung
58,Understanding Instagram Marketing - The Basics,https://www.udemy.com/course/understanding-instagram-marketing-the-basics/?couponCode=FEB2020,3.7,13,Englisch,3.0,Marketing,Content-Marketing,Instagram-Marketing
7,"YouTube Millions 2020: Increase Profits, Subs, Views & Rank",https://www.udemy.com/course/youtubehacks/?LSNPUBID=PPkX79%2Fc*b0&ranEAID=PPkX79%2Fc*b0&ranMID=39197&ranSiteID=PPkX79_c.b0-iSU_A16syDjRw8kFT7pWQg&couponCode=FREEPASSXX,3.5,66,Englisch,6.0,Marketing,Social-Media-Marketing,YouTube-Zielgruppe erweitern
40,Podcast Storytelling Masterclass,https://www.udemy.com/course/how-to-start-podcast-storytelling/?couponCode=48AE9DD31CE04EF02C53,3.9,29,Englisch,1.5,Marketing,Social-Media-Marketing,Podcasts
52,"YouTube Millions 2020: Increase Profits, Subs, Views & Rank",https://www.udemy.com/course/youtubehacks/?couponCode=FREEPASSXX,3.5,66,Englisch,6.0,Marketing,Social-Media-Marketing,YouTube-Zielgruppe erweitern
4,SEO Training 2020 : Complete SEO Guide For Beginners,https://www.udemy.com/course/seo-training-2018-complete-seo-guide-for-beginners/?couponCode=VALENTINESEO2020,3.5,621,Englisch,2.0,Marketing,Suchmaschinenoptimierung,SEO
57,Youtube SEO Course :How TO Rank #1 On YouTube in 2020,https://www.udemy.com/course/youtube-seo-how-to-rank-no-1-on-youtube-in-2018/?couponCode=3A3CD3FD8CB82310C610,3.8,332,Englisch,2.0,Marketing,Suchmaschinenoptimierung,YouTube-Marketing
28,8D Audio Conversion: Convert Any Music Track To 8D,https://www.udemy.com/course/8d-audio-conversion-convert-any-music-track-to-8d/?couponCode=E8641708596EC17175B9,3.4,40,Englisch,38.0,Musik,Musiksoftware,Musikproduktion
14,Dinnertime Conversation on Bitcoin and Blockchain,https://www.udemy.com/course/dinnertime-conversation-on-bitcoin-and-blockchain/?couponCode=C94809F68D9C5A533A7E,4.5,50,Englisch,36.0,Persönliche Entwicklung,Persönliche Finanzen,Blockchain
24,Complete course of Java Server Pages (JSP) Programming,https://www.udemy.com/course/complete-course-of-java-server-pages-jsp-programming/?couponCode=51E410A338864DB080C8,4.3,11,Englisch,2.5,Programmierung,Programmiersprachen,JSP
46,Complete Python Bootcamp : Go Beginner to Expert in Python 3,https://www.udemy.com/course/complete-python-bootcamp-expert-course/?couponCode=AA1EB303602E8DE3E5FE,3.6,60,Englisch,4.5,Programmierung,Programmiersprachen,Python
21,Learn Firefox,https://www.udemy.com/course/learn-firefox/?couponCode=TRY75FREE,3.7,35,Englisch,36.0,Programmierung,Programmierungstools,Web-Content
33,Learn Firefox Developer Edition,https://www.udemy.com/course/learn-firefox-developer-edition/?couponCode=TRY75FREE,3.4,28,Englisch,31.0,Programmierung,Programmierungstools,Front-End-Webentwicklung
8,Internet and Web Development Fundamentals,https://www.udemy.com/course/internet-and-web-development-fundamentals/?couponCode=DE5FB16E58BE82F6E53C,4.5,56,Englisch,4.0,Programmierung,Webentwicklung,Webentwicklung
43,Learn Web Hosting,https://www.udemy.com/course/learn-web-hosting/?couponCode=TRY75FREE,3.4,69,Englisch,1.0,Programmierung,Webentwicklung,Webhosting
53,Learn XML-AJAX - For Beginners,https://www.udemy.com/course/learn-xml-ajax-for-beginners/?couponCode=6E1DB04FF9F17FCBB1A2,4.2,36,Englisch,2.5,Programmierung,Webentwicklung,AJAX
37,TOEFL vs. IELTS: Differences btw TOEFL & IELTS,https://www.udemy.com/course/toefl-vs-ielts-differences-btw-tests/?couponCode=2020FEB,4.0,403,Englisch,19.0,Wissenschaft & Lehre,Prüfungsvorbereitung,TOEFL
12,★Adobe Photoshop CC para Principiantes✔️Básico hasta EXPERTO,https://www.udemy.com/course/photoshopccdominaeldisenodigital/?couponCode=0FCC6561C513101AE957,3.8,275,Spanisch,8.0,Design,Grafikdesign,Photoshop
29,Excel para negocios: Básico hasta avanzado,https://www.udemy.com/course/excelparanegocios/?couponCode=507D5A5AC1A5F38928C5,4.2,670,Spanisch,2.5,Office-Produktivität,Microsoft,Excel
