,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2,expiring
20,Wie Du Ein Erfolgreiches CPA Marketing Business Aufbaust,https://www.udemy.com/course/cpa-online-marketing-kurs/?couponCode=E3D9D93D77D6A0787742,3.8,50,Deutsch,"4,5 Stunden",Business,Selbstständigkeit,CPA-Marketing,99
58,Der komplette Listenaufbau-Kurs im eMail Marketing,https://www.udemy.com/course/listenaufbau-email-marketing-und-newsletter-kurs/?couponCode=D56812240E38A51DB465,4.0,50,Deutsch,"8,5 Stunden",Marketing,Digitales Marketing,List-Building,99
69,Data Visualization in Excel: All Excel Charts and Graphs,https://www.udemy.com/course/data-visualization-in-excel-for-business-professionals/?couponCode=FEB2020FREE,4.5,27,Englisch,"4,5 Stunden",Business,Daten & Analyse,Excel-Diagramme,99
98,Accounting–Financial Accounting Total-Beginners to Advanced,https://www.udemy.com/course/financial-accounting-accounting-cycle/?couponCode=1AC7718F3BD2984C2151,4.0,307,Englisch,"115,5 Stunden",Business,Finanzen,Finanzbuchhaltung,99
27,How To Reduce Constant Work Interruptions,https://www.udemy.com/course/workplace-interruptions/?couponCode=INTERRUPT,4.0,238,Englisch,1 Stunde,Business,Kommunikation,Workflow,5
5,Transformational Leadership - Leadership Course & Training,https://www.udemy.com/course/transformational-leadership-training-course/?couponCode=E14296C8EB327EBB2FBC,4.0,95,Englisch,5 Stunden,Business,Management,Führung,99
76,Program Management Course - Program Manager Essentials,https://www.udemy.com/course/program-management-course/?couponCode=FEB-2020-1,4.2,59,Englisch,1 Stunde,Business,Projektmanagement,Programm-Management,99
36,How To Validate Your Idea And Succeed In Business,https://www.udemy.com/course/how-to-validate-your-idea-and-succeed-in-business/?couponCode=8D89C65A9052A040250C,4.3,49,Englisch,"1,5 Stunden",Business,Selbstständigkeit,Business (Grundlagen),99
78,Ebay Dropshipping 2020 Create Your Store & Make Money Online,https://www.udemy.com/course/make-money-online-by-dropshipping-on-ebay/?couponCode=72_HOURS_FREE,4.2,11,Englisch,"2,5 Stunden",Business,Selbstständigkeit,Dropshipping,99
29,Ultimate Time Management - BEST Time Management Course,https://www.udemy.com/course/ultimate-time-management-best-time-management-course-class-training/?couponCode=432989C22969F29DBB65,4.1,225,Englisch,"2,5 Stunden",Business,Sonstiges,Zeitmanagement,99
39,Outstanding Customer Service - The Ultimate Guide!,https://www.udemy.com/course/outstanding-customer-service/?couponCode=E262DB6BA4BDF7E62578,3.9,72,Englisch,"2,5 Stunden",Business,Sonstiges,Kundenservice,99
50,Business Education: Guide to Blockchain and Cryptocurrencies,https://www.udemy.com/course/business-education-guide-to-blockchain-and-cryptocurrencies/?couponCode=6073A48FABB1DC5DA4D0,4.3,66,Englisch,2 Stunden,Business,Strategie,Blockchain,99
25,The Ultimate Guide To Building A Viral Website Like Buzzfeed,https://www.udemy.com/course/the-ultimate-guide-to-building-a-viral-website-like-buzzfeed/?couponCode=B4BFDF82802350DA9BC5,4.1,288,Englisch,"2,5 Stunden",Business,Unternehmensgründung,Virales Marketing,99
64,The Most Comprehensive Dropshipping Guide Ever Created,https://www.udemy.com/course/dropshipping-academy/?couponCode=FREE0LAUNCH,4.6,19,Englisch,"5,5 Stunden",Business,Unternehmensgründung,Dropshipping,99
40,Ultimate Persuasion Strategies! - Influence Tools & Skills,https://www.udemy.com/course/persuasion-strategies-tools/?couponCode=692E4770C6FB5E36DE5C,4.1,77,Englisch,"2,5 Stunden",Business,Verkauf/Vertrieb,Überzeugungsfähigkeit,99
14,Learn Cinema 4D: Low Poly Planet,https://www.udemy.com/course/low-poly-planet/?couponCode=B8BB71773FF32AD4D165,4.0,15,Englisch,1 Stunde,Design,3D & Animation,Cinema 4D,99
