,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
67,Agile Grundlagen: Agile Projektmanagement; Agile Lieferung,https://www.udemy.com/course/agile-zertifikat/?couponCode=919A877627162DF201A4,3.83333,136,Deutsch,1 total Stunde,IT & Software,IT-Zertifizierung,,0 days 01:00:00.000000000,{'Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation'}
41,Complete Machine Learning Course - Learn From Scratch,https://www.udemy.com/course/complete-machine-learning-course-learn-from-scratch-t/?couponCode=MLMAR198O,3.2,21,English,30 Min. gesamt,Business,Daten & Analyse,,1 days 09:00:00.000000000,{'Masud Rana'}
37,Five Proven Steps to Real Estate Investing Success,https://www.udemy.com/course/five-proven-steps-to-real-estate-investing-success/?couponCode=MARCH14FIVESTEPS,4.15,33,English,"1,5 total Stunden",Business,Immobilien,,1 days 15:00:00.000000000,"{'Blair Halver', 'Scott Paton', 'Scott Alex'}"
60,Multiple Streams of Realtor Income - Real Estate Investing,https://www.udemy.com/course/realtors-and-real-estate-investing/?couponCode=MARCH13MULTIPLE,4.1,22,English,"1,5 total Stunden",Business,Immobilien,,0 days 16:00:00.000000000,"{'Lou Brown', 'Scott Paton', 'Scott Alex'}"
70,Remote Speaking - Pro Speaking Skills in The Coronavirus Era,https://www.udemy.com/course/how-to-give-a-virtual-keynote-speech/?couponCode=04962EEAB600565012F3,4.0,16,English,"5,5 total Stunden",Business,Kommunikation,,2 days 05:00:00.000000000,{'TJ Walker'}
8,Employee Onboarding Masterclass,https://www.udemy.com/course/employee-onboarding-masterclass/?couponCode=MAR2020,3.9,20,English,1 total Stunde,Business,Personalwesen,,1 days 04:00:00.000000000,{'Talent Zoom'}
56,Hire Right Candidate - Targeted Selection Method,https://www.udemy.com/course/make-hiring-work-targeted-selection-method-to-recruit/?couponCode=89035D6DA13046A3BCA9,4.3,26,English,41 Min. gesamt,Business,Personalwesen,,1 days 10:00:00.000000000,{'Aeraaf Patel'}
44,"PASSIVE INCOME MONEY: 20 Ways, 35+ Tools/Websites",https://www.udemy.com/course/ultimate-passive-income-course-20-streams-with-35-ideas-2019/?couponCode=8645E99611F045F63627,4.15,131,English,"3,5 total Stunden",Business,Selbstständigkeit,,1 days 10:00:00.000000000,{'Aeraaf Patel'}
15,Entrepreneurship Tips for Success,https://www.udemy.com/course/entrepreneurship-tips-for-success/?couponCode=59544957E69F40C479E5,3.55,13,English,2 total Stunden,Business,Unternehmensgründung,,1 days 09:00:00.000000000,{'Invert Media'}
54,First Steps in Creating Events,https://www.udemy.com/course/creating-awesome-events/?couponCode=MAR2020,3.45,35,English,1 total Stunde,Business,Unternehmensgründung,,0 days 07:00:00.000000000,{'iMarketer School LONDON'}
55,Outsource Mastery: How To Earn More Money By Doing Less Work,https://www.udemy.com/course/outsource-mastery/?couponCode=MARFREEOUTSOURCE,4.23529,41,English,"2,5 total Stunden",Business,Unternehmensgründung,,1 days 01:00:00.000000000,"{'Tim Godfrey', 'Online Marketing Classroom'}"
5,PicsArt Full Guide: Zero To Hero In Photo Editing & Retouch,https://www.udemy.com/course/picsart-full-guide-zero-to-hero-in-photo-editing-retouch/?couponCode=PICSARTOFFER,3.63158,104,English,"1,5 total Stunden",Design,Designtools,,2 days 18:00:00.000000000,{'Dhabaleshwar Das'}
65,Installing & Configuring a DNS Server on Windows Server 2016,https://www.udemy.com/course/installing-configuring-dns-services-on-windows-server-2016/?couponCode=MAREXTENDED,3.86364,13,English,35 Min. gesamt,IT & Software,Betriebssysteme,,1 days 10:00:00.000000000,{'John Courtenay'}
29,Ultimate Google Cloud Certification - All in one Bundle (4),https://www.udemy.com/course/google-certified-architect-developer-engineer-data-devops/?couponCode=MAR10FREE,4.04375,271,English,32 total Stunden,IT & Software,IT-Zertifizierung,,0 days 06:00:00.000000000,{'Google Cloud Platform Gurus !'}
64,Complete Amazon AWS Certified Solution Architect - Associate,https://www.udemy.com/course/complete-amazon-aws-certified-solution-architect-associate/?couponCode=KIOJ1892,3.15,38,English,40 Min. gesamt,IT & Software,IT-Zertifizierung,,2 days 09:00:00.000000000,{'Masud Rana'}
3,Most Advanced Level Ethical Hacking Using Kali Linux,https://www.udemy.com/course/most-advanced-level-ethical-hacking-course-using-kali-linux/?couponCode=1D1A03B314C9B6953013,3.84615,181,English,8 total Stunden,IT & Software,Netzwerk & Sicherheit,,1 days 05:00:00.000000000,{'ITNuggets Institute'}
31,The Absolute Tools Guide to Cyber Security and Hacking,https://www.udemy.com/course/the-absolute-tools-guide-to-cyber-security-and-hacking/?couponCode=LEARN-TOOL-GET-A-JOB,3.54545,22,English,"16,5 total Stunden",IT & Software,Netzwerk & Sicherheit,,1 days 03:00:00.000000000,{'Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!'}
9,Group Policy (Active Directory) for IT Support Technicians,https://www.udemy.com/course/group-policy-administration-for-it-support-technicians/?couponCode=MAREXTENDED,3.75,43,English,32 Min. gesamt,IT & Software,Sonstiges,,1 days 10:00:00.000000000,{'John Courtenay'}
10,Proven Travel Hacks for Southeast Asia,https://www.udemy.com/course/travel-hacks-for-southeast-asia/?couponCode=MARCH15PROVEN,3.7,12,English,1 total Stunde,Lifestyle,Reisen,,2 days 16:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Ricky Shetty'}"
2,Podcasting Success Strategies: Get Podcast Sponsorships ,https://www.udemy.com/course/podcast-sponsorships/?couponCode=MARCH13PODCASTING,3.65,23,English,"2,5 total Stunden",Marketing,Content-Marketing,,0 days 15:00:00.000000000,"{'Martin Wales', 'Scott Alex', 'Scott Paton'}"
62,Instagram Marketing for Virtual Assistants,https://www.udemy.com/course/instagram-marketing-va/?couponCode=MARCH15INSTAGRAM,3.4,12,English,"1,5 total Stunden",Marketing,Digitales Marketing,,2 days 16:00:00.000000000,"{'Scott Alex', 'Scott Paton', 'Le-an Lai Lacaba'}"
11,First Steps in Market Research,https://www.udemy.com/course/first-steps-in-market-research/?couponCode=MAR2020,3.95,37,English,"1,5 total Stunden",Marketing,Marketinggrundlagen,,1 days 00:00:00.000000000,{'iMarketer School LONDON'}
32,"Abuse Is Not Love Whether Dating, In Domestic Relationship",https://www.udemy.com/course/abuse-is-not-love-whether-dating-in-domestic-relationship/?couponCode=MARCH112020,4.35,17,English,1 total Stunde,Persönliche Entwicklung,Erziehung & Beziehung,,1 days 09:00:00.000000000,{'Crystal Hutchinson Tummala'}
34,First Steps Into Critical Thinking,https://www.udemy.com/course/critical-thinking-in-the-workplace/?couponCode=MAR2020,4.01408,84,English,1 total Stunde,Persönliche Entwicklung,Karriereentwicklung,,1 days 22:00:00.000000000,{'Talent Zoom'}
0,Stop Overthinking - Is Overthinking Hindrance to Success?,https://www.udemy.com/course/overthinking-anxiety-hindrance-to-success/?couponCode=7BF301238A24C3FE7824,4.55,41,English,41 Min. gesamt,Persönliche Entwicklung,Persönliche Veränderung,,1 days 10:00:00.000000000,{'Aeraaf Patel'}
25,Personal Emergency Planning (Coronavirus - COVID-19 Edition),https://www.udemy.com/course/personal-emergency-planning/?couponCode=E8C95BE3ABDA47C4FB3D,4.15625,19,English,"2,5 total Stunden",Persönliche Entwicklung,Sonstiges,,2 days 16:00:00.000000000,{'Timothy Kenny'}
20,Anger Management Masterclass,https://www.udemy.com/course/anger-management-masterclass-x/?couponCode=MARCH20,3.54167,12,English,1 total Stunde,Persönliche Entwicklung,Stressbewältigung,,1 days 08:00:00.000000000,{'Code Of Mind School'}
22,Complete Java Course: Zero to Hero,https://www.udemy.com/course/complete-java-course-zero-to-hero-p/?couponCode=JAVA-EE1,3.2,18,English,42 Min. gesamt,Programmierung,Programmiersprachen,,0 days 16:00:00.000000000,{'Marufa Yasmin'}
27,Python 3.7 Beginner's Bootcamp 2020,https://www.udemy.com/course/learn-python-course/?couponCode=169419BE3C653AFAC047,4.4,23,English,"6,5 total Stunden",Programmierung,Programmiersprachen,,1 days 10:00:00.000000000,{'Aeraaf Patel'}
38,Complete Python Course: Learn Hands On Practically,https://www.udemy.com/course/complete-python-course-learn-hands-on-practically/?couponCode=UH9011QQK,3.59375,95,English,1 total Stunde,Programmierung,Programmiersprachen,,0 days 08:00:00.000000000,"{'Syan Sarkar', 'Rex Jone'}"
7,HTML & CSS - Certification Course for Beginners,https://www.udemy.com/course/html-css-certification-course-for-beginners/?couponCode=5345CA1739E806DAEA0D,4.20312,125,English,4 total Stunden,Programmierung,Webentwicklung,,1 days 17:00:00.000000000,{'YouAccel Training'}
16,Complete Web Development: 22 Courses in 1,https://www.udemy.com/course/the-complete-web-development-course/?couponCode=COMPLETEWEBDEV,3.7551,509,English,"11,5 total Stunden",Programmierung,Webentwicklung,,0 days 18:00:00.000000000,{'Creative Online School'}
40,CSS & JavaScript - Certification Course for Beginners,https://www.udemy.com/course/css-javascript-certification-course-for-beginners/?couponCode=02A1406B09901DF14AF7,4.2037,76,English,3 total Stunden,Programmierung,Webentwicklung,,1 days 17:00:00.000000000,{'YouAccel Training'}
51,The Complete 2020 Web Developer Master Course,https://www.udemy.com/course/the-complete-2020-web-developer-master-course/?couponCode=78B545F361D8D2438434,4.25,41,English,"63,5 total Stunden",Programmierung,Webentwicklung,,1 days 02:00:00.000000000,{'Jesse Caine'}
69,PHP & MySQL - Certification Course for Beginners,https://www.udemy.com/course/php-mysql-certification-course-for-beginners/?couponCode=0D29272483BD228BB91C,4.2561,178,English,"3,5 total Stunden",Programmierung,Webentwicklung,,1 days 17:00:00.000000000,{'YouAccel Training'}
24,Udemy Instructor Course: Udemy for Instructors -Unofficial,https://www.udemy.com/course/udemy-instructor-course/?couponCode=9297E38D5893B937B196,4.0,33,English,"1,5 total Stunden",Wissenschaft & Lehre,Lehrausbildung,,0 days 02:00:00.000000000,{'Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation'}
50,Kubernetes para Desarrolladores,https://www.udemy.com/course/kubernetes-para-desarrolladores/?couponCode=KUBERNETES_FREE_2020,4.13158,35,Español,4 total Stunden,IT & Software,Sonstiges,,1 days 01:00:00.000000000,"{'Proyecto Oforte Cursos de calidad sobre Tecnología.', 'Pablo Chico de Guzman'}"
18,Tembellik (Atalet) Nedir ve Nasıl Yenilir ?,https://www.udemy.com/course/ataleti-ve-tembelligi-yenebilirsiniz/?couponCode=96F89EF54604D5D14DF5,4.19231,66,Türkçe,42 Min. gesamt,Persönliche Entwicklung,Persönliche Veränderung,,0 days 22:00:00.000000000,{'Emir Baran Salbaş'}
